🧠 ECAN-Style Attention Metrics Extraction
==========================================
Starting ECAN-style attention metrics extraction at 2025-07-10T05:45:22Z

📊 Analyzing cognitive workload distribution...
  Scheme File: neural-symbolic-tutorial.scm -> Attention: 100
  Scheme File: tensor-kernel.scm -> Attention: 100
  Scheme File: advanced-tensor-bridge.scm -> Attention: 100
  Scheme File: perceptual-input.scm -> Attention: 100
  Scheme File: emergent-patterns.scm -> Attention: 100
  Scheme File: cognitive-visualization-bridge.scm -> Attention: 100
  Scheme File: agentic-catalog.scm -> Attention: 100
  Scheme File: test-agentic-catalog.scm -> Attention: 100
  Scheme File: bool-library-test.scm -> Attention: 100
  Scheme File: math-library-test.scm -> Attention: 100
  Scheme File: element-of-test.scm -> Attention: 95
  Scheme File: grant-test.scm -> Attention: 100
  Scheme File: put-quoted-lambda.scm -> Attention: 43
  Scheme File: put-get-lambda.scm -> Attention: 33
  Scheme File: condlink.scm -> Attention: 100
  Scheme File: put-nested.scm -> Attention: 100
  Scheme File: put-recursive-test.scm -> Attention: 64
  Scheme File: quotations.scm -> Attention: 100
  Scheme File: put-get.scm -> Attention: 30
  Scheme File: put-tricky.scm -> Attention: 100
  Scheme File: put-get-multi.scm -> Attention: 47
  Scheme File: present-test.scm -> Attention: 99
  Scheme File: put-quoted.scm -> Attention: 61
  Scheme File: put-multi-set.scm -> Attention: 41
  Scheme File: put-and.scm -> Attention: 28
  Scheme File: split-test.scm -> Attention: 100
  Scheme File: filter-link.scm -> Attention: 100
  Scheme File: incoming-of-test.scm -> Attention: 64
  Scheme File: set-value-flow.scm -> Attention: 100
  Scheme File: formulas.scm -> Attention: 100
  Scheme File: filter-rule-test.scm -> Attention: 100
  Scheme File: string-of-test.scm -> Attention: 100
  Scheme File: filter-glob-test.scm -> Attention: 100
  Scheme File: set-tv-flow.scm -> Attention: 100
  Scheme File: concatenate-test.scm -> Attention: 85
  Scheme File: filter-strings-test.scm -> Attention: 87
  Scheme File: futures.scm -> Attention: 100
  Scheme File: filter-float-test.scm -> Attention: 100
  Scheme File: filter-value-test.scm -> Attention: 100
  Scheme File: increment-value-test.scm -> Attention: 100
  Scheme File: dynamic.scm -> Attention: 100
  Scheme File: collection-of-test.scm -> Attention: 100
  Scheme File: hash.scm -> Attention: 100
  Scheme File: sexpr-query-test.scm -> Attention: 100
  Scheme File: datalog-basic-test.scm -> Attention: 94
  Scheme File: defined-schema.scm -> Attention: 100
  Scheme File: transpose-column-test.scm -> Attention: 100
  Scheme File: float-column-test.scm -> Attention: 100
  Scheme File: sexpr-column-test.scm -> Attention: 100
  Scheme File: link-column-test.scm -> Attention: 63
  Scheme File: random-choice.scm -> Attention: 100
  Scheme File: rule-test.scm -> Attention: 100
  Scheme File: threaded.scm -> Attention: 86
